Date,143850.KS,195980.KS,148070.KS,153130.KS
2015-03-02,24000.0,9935.0,115760.0,100400.0
2015-03-03,24095.0,9885.0,115495.0,100400.0
2015-03-04,23975.0,9865.0,115560.0,100410.0
2015-03-05,23910.0,9770.0,115505.0,100430.0
2015-03-06,23910.0,9745.0,115845.0,100445.0
2015-03-09,23615.0,9620.0,115515.0,100465.0
2015-03-10,23630.0,9535.0,115515.0,100475.0
2015-03-11,23380.0,9445.0,115580.0,100485.0
2015-03-12,23345.0,9480.0,115800.0,100525.0
2015-03-13,23610.0,9515.0,115600.0,100540.0
2015-03-16,23440.0,9415.0,115910.0,100550.0
2015-03-17,23665.0,9475.0,116055.0,100560.0
2015-03-18,23715.0,9560.0,116100.0,100570.0
2015-03-19,24030.0,9690.0,116860.0,100585.0
2015-03-20,23905.0,9625.0,116905.0,100590.0
2015-03-23,24110.0,9745.0,117130.0,100600.0
2015-03-24,24000.0,9770.0,117060.0,100600.0
2015-03-25,23855.0,9800.0,117230.0,100605.0
2015-03-26,23530.0,9730.0,117320.0,100620.0
2015-03-27,23545.0,9625.0,117150.0,100625.0
2015-03-30,23595.0,9690.0,117460.0,100635.0
2015-03-31,23740.0,9775.0,117580.0,100645.0
2015-04-01,23465.0,9765.0,117530.0,100660.0
2015-04-02,23515.0,9895.0,117780.0,100675.0
2015-04-03,23610.0,9995.0,118000.0,100680.0
2015-04-06,23450.0,10050.0,118315.0,100685.0
2015-04-07,23720.0,10055.0,118155.0,100695.0
2015-04-08,23680.0,10185.0,117955.0,100695.0
2015-04-09,23775.0,10320.0,118030.0,100710.0
2015-04-10,23880.0,10330.0,118645.0,100725.0
2015-04-13,23955.0,10395.0,118240.0,100730.0
2015-04-14,23910.0,10390.0,117885.0,100725.0
2015-04-15,23890.0,10380.0,117930.0,100735.0
2015-04-16,24045.0,10500.0,117640.0,100740.0
2015-04-17,24005.0,10555.0,118110.0,100750.0
2015-04-20,23835.0,10425.0,117805.0,100760.0
2015-04-21,23985.0,10400.0,117520.0,100760.0
2015-04-22,23955.0,10485.0,117535.0,100760.0
2015-04-23,24015.0,10565.0,116810.0,100775.0
2015-04-24,24115.0,10550.0,116720.0,100780.0
2015-04-27,24185.0,10680.0,116630.0,100775.0
2015-04-28,24085.0,10660.0,116055.0,100765.0
2015-04-29,24125.0,10520.0,115605.0,100775.0
2015-04-30,23995.0,10430.0,115605.0,100785.0
2015-05-04,24045.0,10395.0,114895.0,100785.0
2015-05-06,23955.0,10360.0,114310.0,100790.0
2015-05-07,23800.0,10220.0,113975.0,100800.0
2015-05-08,23895.0,10230.0,115115.0,100800.0
2015-05-11,24195.0,10320.0,115370.0,100820.0
2015-05-12,24105.0,10235.0,113990.0,100825.0
2015-05-13,24095.0,10240.0,114130.0,100815.0
2015-05-14,24040.0,10270.0,114715.0,100840.0
2015-05-15,24275.0,10295.0,114895.0,100845.0
2015-05-18,24280.0,10335.0,114700.0,100845.0
2015-05-19,24385.0,10375.0,114450.0,100850.0
2015-05-20,24380.0,10320.0,114915.0,100860.0
2015-05-21,24295.0,10260.0,115025.0,100875.0
2015-05-22,24425.0,10335.0,115045.0,100880.0
2015-05-26,24355.0,10290.0,115135.0,100880.0
2015-05-27,24125.0,10130.0,115220.0,100885.0
2015-05-28,24330.0,10080.0,115470.0,100900.0
2015-05-29,24360.0,10055.0,116395.0,100910.0
2015-06-01,24225.0,9995.0,116385.0,100920.0
2015-06-02,24215.0,9895.0,116620.0,100935.0
2015-06-03,24180.0,9930.0,115675.0,100945.0
2015-06-04,24270.0,9815.0,115120.0,100965.0
2015-06-05,24065.0,9785.0,115325.0,100970.0
2015-06-08,24015.0,9725.0,115015.0,100970.0
2015-06-09,23895.0,9640.0,115390.0,100980.0
2015-06-10,23940.0,9715.0,115270.0,100990.0
2015-06-11,24170.0,9715.0,114890.0,101000.0
2015-06-12,24135.0,9725.0,115390.0,101020.0
2015-06-15,23990.0,9680.0,115110.0,101030.0
2015-06-16,23920.0,9800.0,115095.0,101035.0
2015-06-17,24090.0,9625.0,114640.0,101030.0
2015-06-18,24010.0,9695.0,115000.0,101040.0
2015-06-19,24345.0,9750.0,115510.0,101035.0
2015-06-22,24300.0,9760.0,115145.0,101040.0
2015-06-23,24410.0,9845.0,115375.0,101040.0
2015-06-24,24405.0,9875.0,115300.0,101060.0
2015-06-25,24270.0,9870.0,115500.0,101070.0
2015-06-26,24140.0,9780.0,115250.0,101070.0
2015-06-29,23825.0,9590.0,115410.0,101065.0
2015-06-30,23685.0,9650.0,115635.0,101075.0
2015-07-01,23800.0,9730.0,115550.0,101090.0
2015-07-02,23865.0,9670.0,114930.0,101095.0
2015-07-03,23910.0,9680.0,115040.0,101100.0
2015-07-06,23560.0,9395.0,115495.0,101105.0
2015-07-07,23945.0,9345.0,115405.0,101110.0
2015-07-08,23765.0,9080.0,115410.0,101120.0
2015-07-09,23730.0,9085.0,115500.0,101130.0
2015-07-10,23780.0,9245.0,115105.0,101140.0
